# %ECSV 0.9
# ---
# datatype:
# - {name: wavelength_lower, datatype: float64}
# - {name: wavelength_upper, datatype: float64}
# - {name: depth, datatype: float64}
# - {name: uncertainty, datatype: float64}
# schema: astropy-2.0
wavelength_lower wavelength_upper depth uncertainty
0.8542251674925581 1.145774832507442 0.10030135977190428 0.001
1.1245245307148692 1.4585747993148985 0.10115113913013457 0.0012222222222222222
1.452379280945809 1.8838217934543087 0.09971749821023451 0.0014444444444444444
1.8758199737801173 2.4330494062836503 0.1016291410261127 0.0016666666666666668
2.4227146587639385 3.1424041456503105 0.10053225219923811 0.001888888888888889
3.129056305953214 4.058571021656041 0.10211091393276173 0.0021111111111111113
4.041331623766583 5.241846043458974 0.09830481151674461 0.0023333333333333335
5.219580504889786 6.7701045014890315 0.09852597050292707 0.0025555555555555557
6.741347452608622 8.743926201013917 0.10226976068502647 0.002777777777777778
8.871318413405636 11.128681586594364 0.09956209661191383 0.003
