# %ECSV 0.9
# ---
# datatype:
# - {name: wavelength, datatype: float64}
# - {name: depth, datatype: float64}
# - {name: uncertainty, datatype: float64}
# schema: astropy-2.0
wavelength depth uncertainty
1.0 0.10102156043091987 0.001
1.2915496650148839 0.0999482261010694 0.0012222222222222222
1.6681005372000588 0.10018731070154163 0.0014444444444444444
2.154434690031884 0.09846399518098217 0.0016666666666666668
2.7825594022071245 0.09926005673397466 0.001888888888888889
3.5938136638046276 0.09872372418743486 0.0021111111111111113
4.641588833612778 0.10200660258262438 0.0023333333333333335
5.994842503189409 0.0954899652998408 0.0025555555555555557
7.742636826811269 0.10055717114287906 0.002777777777777778
10.0 0.09636359867165276 0.003
